id,baseline,language,exact_match,exact_match_trim,exact_match_line_trim,location_overlap_f1,prediction_len_chars,target_len_chars,num_gold_spans,num_gold_changed_old_lines,change_complexity
crn-005287,no_review,sql,0,0,0,0.0,336,565,1,1,tiny_1_line
crn-011737,no_review,ruby,0,0,0,0.5333333333333333,339,374,1,4,medium_4_8_lines
crn-002932,no_review,perl,0,0,0,0.6666666666666666,775,691,1,6,medium_4_8_lines
crn-002192,no_review,sql,0,0,0,0.72,1649,1652,1,9,large_9plus_lines
crn-006232,no_review,php,0,0,0,0.4,523,611,2,2,small_2_3_lines
crn-011391,no_review,go,0,0,0,0.3333333333333333,504,482,2,2,small_2_3_lines
crn-002686,no_review,r,0,0,0,1.0,329,404,1,6,medium_4_8_lines
crn-004518,no_review,java,0,0,0,0.2222222222222222,320,330,1,1,tiny_1_line
crn-003358,no_review,scala,0,0,0,0.36363636363636365,249,205,1,2,small_2_3_lines
crn-008823,no_review,javascript,0,0,0,0.36363636363636365,400,339,1,2,small_2_3_lines
crn-006784,no_review,go,0,0,0,0.56,1351,1072,4,14,large_9plus_lines
crn-013905,no_review,kotlin,0,0,0,0.7,540,295,1,7,medium_4_8_lines
crn-002938,no_review,perl,0,0,0,0.72,363,189,1,9,large_9plus_lines
crn-000862,no_review,objective-c,0,0,0,0.8571428571428571,784,752,3,8,medium_4_8_lines
crn-006421,no_review,ruby,0,0,0,0.36363636363636365,67,116,1,2,small_2_3_lines
crn-000801,no_review,objective-c,0,0,0,0.6666666666666666,352,188,1,5,medium_4_8_lines
crn-009395,no_review,c,0,0,0,0.2,455,155,1,9,large_9plus_lines
crn-004543,no_review,java,0,0,0,0.5833333333333334,944,741,3,7,medium_4_8_lines
crn-006291,no_review,c,0,0,0,0.6,983,1245,5,12,large_9plus_lines
crn-000798,no_review,objective-c,0,0,0,0.2222222222222222,306,351,1,1,tiny_1_line
crn-011089,no_review,csharp,0,0,0,0.5882352941176471,460,489,1,5,medium_4_8_lines
crn-000744,no_review,swift,0,0,0,1.0,367,373,1,2,small_2_3_lines
crn-001241,no_review,kotlin,0,0,0,0.2222222222222222,293,305,1,1,tiny_1_line
crn-009360,no_review,c,0,0,0,1.0,558,453,1,7,medium_4_8_lines
crn-005359,no_review,javascript,0,0,0,0.5882352941176471,323,251,1,5,medium_4_8_lines
crn-002326,no_review,r,0,0,0,0.5714285714285714,599,529,3,4,medium_4_8_lines
crn-006510,no_review,cpp,0,0,0,1.0,372,307,1,5,medium_4_8_lines
