id,source_index,language,repo,review_url,commit_url,metadata_present,review_status,review_error,review_path,review_original_commit_id,review_commit_id,final_commit_sha,path_available,raw_fetch_refs_tried,raw_fetch_success_refs,old_exact_match_any_ref,old_exact_unique_any_ref,old_trimmed_match_any_ref,old_best_exact_count,old_best_trimmed_count,old_best_ref,old_plain_exact_match_any_ref,old_plain_exact_unique_any_ref,old_plain_trimmed_match_any_ref,old_plain_best_exact_count,old_plain_best_trimmed_count,old_plain_best_ref,new_exact_match_any_ref,new_trimmed_match_any_ref,new_best_exact_count,new_best_trimmed_count,new_best_ref,new_plain_exact_match_any_ref,new_plain_trimmed_match_any_ref,new_plain_best_exact_count,new_plain_best_trimmed_count,new_plain_best_ref,prediction_patch_feasible_by_exact_old,prediction_patch_feasible_by_plain_old,test_command_hint
crn-002447,2447,r,r-lib/lintr,https://api.github.com/repos/r-lib/lintr/pulls/comments/974400171,https://api.github.com/repos/r-lib/lintr/commits/0b61b3dd9f2c90b7c651f5cea6c836556cd9c97e,True,200,,R/get_source_expressions.R,c19e169a2980638a02f6988b2c9ec214fdbd0662,c1272b68f1719f70c4740b4a0a860e648616fd4d,0b61b3dd9f2c90b7c651f5cea6c836556cd9c97e,True,3,3,False,False,False,0,0,,False,False,False,0,0,,False,False,0,0,,False,False,0,0,,False,False,R CMD check or devtools::test()
crn-004479,4479,java,apache/accumulo,https://api.github.com/repos/apache/accumulo/pulls/comments/1073295558,https://api.github.com/repos/apache/accumulo/commits/749d9c71ab8e4d66d2cf26f9fe5a3ef45a5b47f2,True,200,,server/base/src/main/java/org/apache/accumulo/server/util/ManagerMetadataUtil.java,6d788025a39c60f231fa86c6bd568d5f0f5e4494,03a832df87ee7735a82f16dde4b0715d74f96f1b,749d9c71ab8e4d66d2cf26f9fe5a3ef45a5b47f2,True,3,3,False,False,False,0,0,,False,False,False,0,0,,False,False,0,0,,False,False,0,0,,False,False,mvn test or ./gradlew test
crn-002358,2358,r,r-lib/lintr,https://api.github.com/repos/r-lib/lintr/pulls/comments/1096819791,https://api.github.com/repos/r-lib/lintr/commits/c434cb00eef0fcb2ef975bfec081644b498b0a5d,True,200,,R/unnecessary_lambda_linter.R,2f4fe9c144032e2d261c21273cca37b19b69c630,0eee48687a09d524d4611381d67d62e13fc796f1,c434cb00eef0fcb2ef975bfec081644b498b0a5d,True,3,3,False,False,False,0,0,,True,True,True,1,1,2f4fe9c144032e2d261c21273cca37b19b69c630,False,False,0,0,,True,True,1,1,0eee48687a09d524d4611381d67d62e13fc796f1,False,True,R CMD check or devtools::test()
crn-007771,7771,go,multiversx/mx-chain-go,https://api.github.com/repos/multiversx/mx-chain-go/pulls/comments/1035668605,https://api.github.com/repos/multiversx/mx-chain-go/commits/b8418e8008a5e8904542f887578880341c0c8bad,True,200,,testscommon/blockChainHookStub.go,db0e9576af25921b4bfb85448972ddab8561c81a,5f2f28d35e306ddb3ad5dd3b0429606089f7f6cd,b8418e8008a5e8904542f887578880341c0c8bad,True,3,3,False,False,False,0,0,,False,False,False,0,0,,False,False,0,0,,False,False,0,0,,False,False,go test ./...
crn-012677,12677,python,demisto/content,https://api.github.com/repos/demisto/content/pulls/comments/1118113282,https://api.github.com/repos/demisto/content/commits/3c254dd5f716a15751f456043a4f023e76c2e59d,True,200,,Packs/ApiModules/Scripts/CoreIRApiModule/CoreIRApiModule.py,7eff87dbb44767751d3f4f41925fc9d61eb01941,3c254dd5f716a15751f456043a4f023e76c2e59d,3c254dd5f716a15751f456043a4f023e76c2e59d,True,2,2,False,False,False,0,0,,False,False,False,0,0,,False,False,0,0,,False,False,0,0,,False,False,pytest or project-specific test command
crn-008668,8668,go,pachyderm/pachyderm,https://api.github.com/repos/pachyderm/pachyderm/pulls/comments/930392142,https://api.github.com/repos/pachyderm/pachyderm/commits/0468b9b4589655c90f3165aa5bd1717d14320205,True,200,,src/client/transaction.go,f17ba4b480bd13432d92cde864b8de676a3758f1,44c577940b718faeeb17f5d6ffabea838936a22b,0468b9b4589655c90f3165aa5bd1717d14320205,True,3,3,False,False,False,0,0,,False,False,False,0,0,,False,False,0,0,,False,False,0,0,,False,False,go test ./...
crn-005992,5992,go,mysteriumnetwork/node,https://api.github.com/repos/mysteriumnetwork/node/pulls/comments/978630992,https://api.github.com/repos/mysteriumnetwork/node/commits/33e5885f22b84be699d2841dbb400b4455b5a052,True,200,,tequilapi/contract/node.go,3f164ea1b063c8fea1c76e216a985fc344b272be,c58f00262b5ab94f4c8cad0c203f4bc6945ff934,33e5885f22b84be699d2841dbb400b4455b5a052,True,3,3,False,False,False,0,0,,False,False,False,0,0,,False,False,0,0,,False,False,0,0,,False,False,go test ./...
crn-008083,8083,csharp,dotnet/msbuild,https://api.github.com/repos/dotnet/msbuild/pulls/comments/982921815,https://api.github.com/repos/dotnet/msbuild/commits/4f93b0edf778b0da46db17bb211c5e448525724e,True,200,,src/Tasks.UnitTests/AssignCulture_Tests.cs,8d14ac81a8faac4cf5acd84eeff166838c2e53df,4f93b0edf778b0da46db17bb211c5e448525724e,4f93b0edf778b0da46db17bb211c5e448525724e,True,2,2,False,False,False,0,0,,False,False,False,0,0,,False,False,0,0,,False,False,0,0,,False,False,dotnet test
crn-006884,6884,python,runtimeverification/k,https://api.github.com/repos/runtimeverification/k/pulls/comments/901308761,https://api.github.com/repos/runtimeverification/k/commits/cb84a948d0d6cac786306b2ced9b62bf37e29963,True,200,,pyk/src/pyk/kcfg.py,546ddba50450124188b1662594636b9dcf35ed64,2f026b981334ad2083e5ce70918841861f8986ed,cb84a948d0d6cac786306b2ced9b62bf37e29963,True,3,3,False,False,False,0,0,,False,False,False,0,0,,False,False,0,0,,False,False,0,0,,False,False,pytest or project-specific test command
crn-010381,10381,cpp,tenzir/vast,https://api.github.com/repos/tenzir/vast/pulls/comments/978488736,https://api.github.com/repos/tenzir/vast/commits/dd26f8dc783231636321d6e1e7b1cb5388f967b9,True,200,,libvast/src/system/make_pipelines.cpp,751bc06b59dfe906cbb7dfbaf0d4ed100bea5d2c,085838afdb9a463faafc807bace1b6507d924ae5,dd26f8dc783231636321d6e1e7b1cb5388f967b9,True,3,3,False,False,False,0,0,,False,False,False,0,0,,False,False,0,0,,False,False,0,0,,False,False,cmake/ctest project-specific command
crn-000503,503,swift,wireapp/wire-ios,https://api.github.com/repos/wireapp/wire-ios/pulls/comments/1068427157,https://api.github.com/repos/wireapp/wire-ios/commits/a2fa52557ef3a28c271f101c425f7737b942a2db,True,404,HTTPError: 404,,,,a2fa52557ef3a28c271f101c425f7737b942a2db,False,0,0,False,False,False,0,0,,False,False,False,0,0,,False,False,0,0,,False,False,0,0,,False,False,swift test or xcodebuild test
crn-011767,11767,ruby,exercism/website,https://api.github.com/repos/exercism/website/pulls/comments/925487996,https://api.github.com/repos/exercism/website/commits/6a160264967a3ce75494262a07f300c4c9553c9a,True,200,,app/commands/mentor/request/accept_external.rb,d451be6d8eb9e685b7d9ef4d5aefebb50619c378,6a160264967a3ce75494262a07f300c4c9553c9a,6a160264967a3ce75494262a07f300c4c9553c9a,True,2,2,False,False,False,0,0,,False,False,False,0,0,,False,False,0,0,,False,False,0,0,,False,False,bundle exec rake test or bundle exec rspec
