model,comparison,metric,paired_n,gain,gain_pct,ci95_low,ci95_high,ci95_low_pct,ci95_high_pct
qwen2.5-coder:7b,direct - no_review,exact_match_line_trim,2,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-coder:7b,direct - no_review,location_overlap_f1,2,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-coder:7b,gold_location - direct,exact_match_line_trim,2,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-coder:7b,gold_location - direct,location_overlap_f1,2,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-coder:6.7b,direct - no_review,exact_match_line_trim,2,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-coder:6.7b,direct - no_review,location_overlap_f1,2,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-coder:6.7b,gold_location - direct,exact_match_line_trim,2,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-coder:6.7b,gold_location - direct,location_overlap_f1,2,0.0,0.0,0.0,0.0,0.0,0.0
codegemma:7b,direct - no_review,exact_match_line_trim,2,0.0,0.0,0.0,0.0,0.0,0.0
codegemma:7b,direct - no_review,location_overlap_f1,2,0.0,0.0,0.0,0.0,0.0,0.0
codegemma:7b,gold_location - direct,exact_match_line_trim,2,0.0,0.0,0.0,0.0,0.0,0.0
codegemma:7b,gold_location - direct,location_overlap_f1,2,0.0,0.0,0.0,0.0,0.0,0.0
macro_average,direct - no_review,exact_match_line_trim,2,0.0,0.0,0.0,0.0,0.0,0.0
macro_average,direct - no_review,location_overlap_f1,2,0.0,0.0,0.0,0.0,0.0,0.0
macro_average,gold_location - direct,exact_match_line_trim,2,0.0,0.0,0.0,0.0,0.0,0.0
macro_average,gold_location - direct,location_overlap_f1,2,0.0,0.0,0.0,0.0,0.0,0.0
