model,comparison,metric,paired_n,gain,gain_pct,ci95_low,ci95_high,ci95_low_pct,ci95_high_pct
qwen2.5-coder:7b,direct - no_review,exact_match_line_trim,4,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-coder:7b,direct - no_review,location_overlap_f1,4,-0.01572039072039072,-1.572039072039072,-0.16666666666666666,0.1195054945054945,-16.666666666666664,11.950549450549449
qwen2.5-coder:7b,gold_location - direct,exact_match_line_trim,6,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-coder:7b,gold_location - direct,location_overlap_f1,6,0.3531746031746032,35.317460317460316,-0.006984126984127019,0.7331746031746031,-0.6984126984127019,73.31746031746032
deepseek-coder:6.7b,direct - no_review,exact_match_line_trim,100,0.01,1.0,0.0,0.03,0.0,3.0
deepseek-coder:6.7b,direct - no_review,location_overlap_f1,100,-0.023536751623861055,-2.3536751623861054,-0.07432855353965626,0.02079248613796942,-7.432855353965626,2.079248613796942
deepseek-coder:6.7b,gold_location - direct,exact_match_line_trim,100,-0.01,-1.0,-0.03,0.0,-3.0,0.0
deepseek-coder:6.7b,gold_location - direct,location_overlap_f1,100,0.03830902603659459,3.8309026036594593,-0.0022675279171715194,0.07861191643592398,-0.22675279171715193,7.861191643592398
codegemma:7b,direct - no_review,exact_match_line_trim,100,0.0,0.0,0.0,0.0,0.0,0.0
codegemma:7b,direct - no_review,location_overlap_f1,100,-0.0008253968253968253,-0.08253968253968252,-0.0018412698412698409,0.0,-0.18412698412698408,0.0
codegemma:7b,gold_location - direct,exact_match_line_trim,100,0.0,0.0,0.0,0.0,0.0,0.0
codegemma:7b,gold_location - direct,location_overlap_f1,100,0.00041025641025641045,0.041025641025641046,0.0,0.0012307692307692315,0.0,0.12307692307692314
macro_average,direct - no_review,exact_match_line_trim,4,0.0033333333333333335,0.33333333333333337,0.0,0.01,0.0,1.0
macro_average,direct - no_review,location_overlap_f1,4,-0.013360846389882866,-1.3360846389882866,-0.06178100667937908,0.03073521588456185,-6.178100667937908,3.073521588456185
macro_average,gold_location - direct,exact_match_line_trim,6,-0.0033333333333333335,-0.33333333333333337,-0.01,0.0,-1.0,0.0
macro_average,gold_location - direct,location_overlap_f1,6,0.13063129520715142,13.063129520715142,0.007301934370795988,0.25908965879547585,0.7301934370795988,25.908965879547587
