model,condition,example_id,raw_output_len_chars,extracted_code_len_chars,flags,warning,error
qwen2.5-coder:7b,no_review,crn-011737,0,0,empty_raw_output;empty_extracted_code,empty_raw_output,"BackendRequestError: Ollama response did not include message.content: {'model': 'qwen2.5-coder:7b', 'created_at': '2026-05-11T02:00:14.723791885Z', 'message': {'role': 'assistant', 'content': ''}, 'done': True, 'done_reason': 'stop', 'total_duration': 14618951906, 'load_duration': 197151498, 'prompt_eval_count': 159, 'prompt_eval_duration': 14413145282, 'eval_count': 1}"
qwen2.5-coder:7b,no_review,crn-006232,11,10,very_short_extracted_code,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-011391,0,0,empty_raw_output;empty_extracted_code,empty_raw_output,RemoteDisconnected: Remote end closed connection without response
qwen2.5-coder:7b,no_review,crn-002686,0,0,empty_raw_output;empty_extracted_code,empty_raw_output,BackendRequestError: Could not reach local backend at http://127.0.0.1:11434/api/chat: [Errno 111] Connection refused
qwen2.5-coder:7b,no_review,crn-004518,0,0,empty_raw_output;empty_extracted_code,empty_raw_output,BackendRequestError: Could not reach local backend at http://127.0.0.1:11434/api/chat: [Errno 111] Connection refused
qwen2.5-coder:7b,no_review,crn-003358,0,0,empty_raw_output;empty_extracted_code,empty_raw_output,BackendRequestError: Could not reach local backend at http://127.0.0.1:11434/api/chat: [Errno 111] Connection refused
qwen2.5-coder:7b,no_review,crn-008823,0,0,empty_raw_output;empty_extracted_code,empty_raw_output,BackendRequestError: Could not reach local backend at http://127.0.0.1:11434/api/chat: [Errno 111] Connection refused
qwen2.5-coder:7b,no_review,crn-006784,0,0,empty_raw_output;empty_extracted_code,empty_raw_output,BackendRequestError: Could not reach local backend at http://127.0.0.1:11434/api/chat: [Errno 111] Connection refused
qwen2.5-coder:7b,no_review,crn-013905,0,0,empty_raw_output;empty_extracted_code,empty_raw_output,BackendRequestError: Could not reach local backend at http://127.0.0.1:11434/api/chat: [Errno 111] Connection refused
qwen2.5-coder:7b,no_review,crn-002938,0,0,empty_raw_output;empty_extracted_code,empty_raw_output,BackendRequestError: Could not reach local backend at http://127.0.0.1:11434/api/chat: [Errno 111] Connection refused
