model,comparison,metric,paired_n,gain,gain_pct,ci95_low,ci95_high,ci95_low_pct,ci95_high_pct
qwen2.5-coder:7b,direct - no_review,exact_match_line_trim,10,0.1,10.0,0.0,0.3,0.0,30.0
qwen2.5-coder:7b,direct - no_review,location_overlap_f1,10,-0.020888888888888884,-2.0888888888888886,-0.2600555555555556,0.21335555555555552,-26.00555555555556,21.33555555555555
qwen2.5-coder:7b,gold_location - direct,exact_match_line_trim,10,-0.1,-10.0,-0.3,0.0,-30.0,0.0
qwen2.5-coder:7b,gold_location - direct,location_overlap_f1,10,0.5039393939393939,50.39393939393939,0.2739393939393939,0.7239393939393939,27.39393939393939,72.39393939393939
deepseek-coder:6.7b,direct - no_review,exact_match_line_trim,9,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-coder:6.7b,direct - no_review,location_overlap_f1,9,0.07901740884197024,7.901740884197024,-0.08807220070377965,0.28822055137844615,-8.807220070377966,28.822055137844615
deepseek-coder:6.7b,gold_location - direct,exact_match_line_trim,10,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-coder:6.7b,gold_location - direct,location_overlap_f1,10,-0.01685958485958484,-1.6859584859584842,-0.15060934065934062,0.10541184371184373,-15.060934065934061,10.541184371184373
codegemma:7b,direct - no_review,exact_match_line_trim,10,0.1,10.0,0.0,0.3,0.0,30.0
codegemma:7b,direct - no_review,location_overlap_f1,10,-0.1349088455404245,-13.49088455404245,-0.434647435897436,0.1715017605201815,-43.4647435897436,17.15017605201815
codegemma:7b,gold_location - direct,exact_match_line_trim,10,-0.1,-10.0,-0.3,0.0,-30.0,0.0
codegemma:7b,gold_location - direct,location_overlap_f1,10,0.23119658119658118,23.11965811965812,-0.038888888888888896,0.5068696581196581,-3.8888888888888897,50.68696581196581
macro_average,direct - no_review,exact_match_line_trim,9,0.06666666666666667,6.666666666666667,0.0,0.19999999999999998,0.0,20.0
macro_average,direct - no_review,location_overlap_f1,9,-0.02559344186244772,-2.559344186244772,-0.19253751187084522,0.13106255172161602,-19.25375118708452,13.106255172161601
macro_average,gold_location - direct,exact_match_line_trim,10,-0.06666666666666667,-6.666666666666667,-0.19999999999999998,0.0,-20.0,0.0
macro_average,gold_location - direct,location_overlap_f1,10,0.23942546342546342,23.942546342546343,0.0980310152810153,0.38638213823213824,9.803101528101529,38.638213823213825
