model,comparison,metric,paired_n,gain,gain_pct,ci95_low,ci95_high,ci95_low_pct,ci95_high_pct
qwen2.5-coder:7b,direct - no_review,exact_match_line_trim,100,0.08,8.0,0.03,0.13,3.0,13.0
qwen2.5-coder:7b,direct - no_review,location_overlap_f1,100,0.1574173113221789,15.74173113221789,0.0916350249329455,0.2173994980308904,9.16350249329455,21.73994980308904
qwen2.5-coder:7b,gold_location - direct,exact_match_line_trim,100,-0.06,-6.0,-0.11024999999999999,-0.01,-11.024999999999999,-1.0
qwen2.5-coder:7b,gold_location - direct,location_overlap_f1,100,0.11861812106022633,11.861812106022633,0.04703623398874947,0.18549505898985771,4.703623398874947,18.54950589898577
deepseek-coder:6.7b,direct - no_review,exact_match_line_trim,100,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-coder:6.7b,direct - no_review,location_overlap_f1,100,0.053677320605906055,5.367732060590606,0.027795994843717118,0.08101851198563677,2.779599484371712,8.101851198563677
deepseek-coder:6.7b,gold_location - direct,exact_match_line_trim,100,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-coder:6.7b,gold_location - direct,location_overlap_f1,100,0.03823991805632336,3.823991805632336,0.003971444033178875,0.07657922670699314,0.3971444033178875,7.657922670699315
codegemma:7b,direct - no_review,exact_match_line_trim,100,0.07,7.000000000000001,0.02,0.13,2.0,13.0
codegemma:7b,direct - no_review,location_overlap_f1,100,0.03549144385026738,3.549144385026738,-0.02995157287157287,0.10356913218317627,-2.9951572871572867,10.356913218317628
codegemma:7b,gold_location - direct,exact_match_line_trim,100,-0.05,-5.0,-0.11,0.0,-11.0,0.0
codegemma:7b,gold_location - direct,location_overlap_f1,100,0.06792597491532583,6.792597491532583,0.007890712397811786,0.13188631949946603,0.7890712397811787,13.188631949946602
macro_average,direct - no_review,exact_match_line_trim,100,0.05000000000000001,5.000000000000001,0.02666666666666667,0.07666666666666667,2.666666666666667,7.666666666666668
macro_average,direct - no_review,location_overlap_f1,100,0.08219535859278411,8.21953585927841,0.04758979315602995,0.11760273991979348,4.758979315602995,11.760273991979348
macro_average,gold_location - direct,exact_match_line_trim,100,-0.03666666666666667,-3.6666666666666665,-0.06341666666666666,-0.01,-6.341666666666666,-1.0
macro_average,gold_location - direct,location_overlap_f1,100,0.07492800467729184,7.492800467729184,0.04048433751218314,0.10938803498577701,4.0484337512183135,10.938803498577702
