model,diff_type,example_count,no_review_exact,no_review_location_f1,direct_exact,direct_location_f1,gold_location_exact,gold_location_location_f1,direct_minus_no_review_exact,gold_location_minus_direct_exact,direct_minus_no_review_location_f1,gold_location_minus_direct_location_f1
qwen2.5-coder:7b,replace_only,10690,0.005706267539756782,0.37428518593982796,0.09766136576239476,0.5584228161824444,0.029373246024321797,0.7214049592788266,0.09195509822263798,-0.06828811973807296,0.18413763024261642,0.16298214309638226
qwen2.5-coder:7b,insert_only,1121,0.0,0.2515819175649182,0.0008920606601248885,0.27852268376553646,0.0,0.4748553654518825,0.0008920606601248885,-0.0008920606601248885,0.02694076620061825,0.19633268168634604
qwen2.5-coder:7b,delete_only,1503,0.021290751829673986,0.44950803739327244,0.19827012641383898,0.5825420993651459,0.44976713240186295,0.7230327195268614,0.176979374584165,0.25149700598802394,0.13303406197187345,0.14049062016171554
qwen2.5-coder:7b,mixed,1541,0.0,0.4515916038975521,0.001946787800129786,0.478862997682146,0.0,0.6685992285331226,0.001946787800129786,-0.001946787800129786,0.027271393784593922,0.18973623085097657
deepseek-coder:6.7b,replace_only,10690,0.0,0.32737393971120365,0.007015902712815715,0.40099851012803084,0.00028063610851262864,0.44161687067300354,0.007015902712815715,-0.006735266604303087,0.07362457041682718,0.0406183605449727
deepseek-coder:6.7b,insert_only,1121,0.0,0.26028637867320903,0.0,0.26229662630480954,0.0,0.2933990544330577,0.0,0.0,0.0020102476316005147,0.03110242812824815
deepseek-coder:6.7b,delete_only,1503,0.0026613439787092482,0.4259887646678166,0.020625415834996674,0.47927788035919705,0.059214903526280775,0.5462471378435005,0.017964071856287425,0.038589487691284105,0.05328911569138045,0.06696925748430349
deepseek-coder:6.7b,mixed,1541,0.0,0.4538019469452801,0.0,0.48485647214722294,0.0,0.5460670162212307,0.0,0.0,0.03105452520194285,0.06121054407400772
qwen2.5-coder:32b,replace_only,10690,0.005706267539756782,0.38930461712423253,0.11889616463985032,0.6938401871654445,0.00028063610851262864,0.7384201186629533,0.11318989710009354,-0.1186155285313377,0.30453557004121196,0.04457993149750883
qwen2.5-coder:32b,insert_only,1121,0.0,0.24896076777606102,0.001784121320249777,0.34235360479511323,0.0,0.43838279051261386,0.001784121320249777,-0.001784121320249777,0.09339283701905221,0.09602918571750063
qwen2.5-coder:32b,delete_only,1503,0.03792415169660679,0.46713886962214185,0.3413173652694611,0.6782493578270428,0.4098469727212242,0.695835135789505,0.3033932135728543,0.06852960745176312,0.21111048820490091,0.01758577796246219
qwen2.5-coder:32b,mixed,1541,0.0012978585334198572,0.4906020595519693,0.005840363400389357,0.5713783695163834,0.0012978585334198572,0.6347029803229247,0.004542504866969501,-0.004542504866969501,0.08077630996441415,0.06332461080654128
macro_average,replace_only,10690,0.0038041783598378545,0.363654580925088,0.07452447770502027,0.5510871711586399,0.009978172747115684,0.6338139828715945,0.07072029934518241,-0.06454630495790457,0.18743259023355185,0.0827268117129546
macro_average,insert_only,1121,0.0,0.25360968800472944,0.0008920606601248885,0.29439097162181976,0.0,0.40221240346585135,0.0008920606601248885,-0.0008920606601248885,0.040781283617090325,0.1078214318440316
macro_average,delete_only,1503,0.020625415834996674,0.44754522389441026,0.18673763583943226,0.5800231125171286,0.30627633621645595,0.655038331053289,0.16611222000443557,0.11953870037702373,0.13247788862271828,0.0750152185361604
macro_average,mixed,1541,0.0004326195111399524,0.4653318701316005,0.0025957170668397147,0.5116992797819174,0.0004326195111399524,0.6164564083590927,0.002163097555699762,-0.002163097555699762,0.04636740965031697,0.10475712857717519
