model,feature,bin,n,value_min,value_max,direct_exact,gold_location_exact,gold_minus_direct_exact,direct_location_f1,gold_location_location_f1,gold_minus_direct_location_f1,direct_correct_gold_wrong_rate
qwen2.5-coder:7b,old_snippet_line_count,q4_gt_11,3383,12,44,0.02364765001477978,0.044043748152527346,0.020396098137747565,0.5285144533370291,0.7066001675824283,0.1780857142453992,0.007094295004433935
qwen2.5-coder:7b,old_snippet_line_count,q3_8_to_11,3176,9,11,0.05163727959697733,0.06517632241813602,0.01353904282115869,0.52806687702413,0.7065784186899353,0.1785115416658053,0.02991183879093199
qwen2.5-coder:7b,old_snippet_line_count,q1_le_8,8296,3,8,0.1328351012536162,0.07642237222757955,-0.05641272902603664,0.5340100881385839,0.6902893012644701,0.15627921312588622,0.09811957569913211
qwen2.5-coder:7b,review_word_count,q4_gt_24,3611,25,422,0.03295486014954306,0.0321240653558571,-0.00083079479368596,0.4689879091515749,0.6457730972086462,0.17678518805707127,0.022154527831625588
qwen2.5-coder:7b,review_word_count,q3_14_to_24,3388,15,24,0.07910271546635184,0.05460448642266824,-0.024498229043683595,0.5199196302308231,0.6886065705016142,0.16868694027079112,0.05785123966942149
qwen2.5-coder:7b,review_word_count,q1_le_8,4384,1,8,0.13024635036496351,0.10971715328467153,-0.02052919708029198,0.5689112468411706,0.7407898486026974,0.1718786017615268,0.08280109489051095
qwen2.5-coder:7b,review_word_count,q2_8_to_14,3472,9,14,0.11175115207373272,0.059907834101382486,-0.051843317972350235,0.5605249236594009,0.7052572168279139,0.144732293168513,0.0846774193548387
qwen2.5-coder:7b,gold_new_line_count,q4_gt_11,3132,12,42,0.007982120051085569,0.010217113665389528,0.0022349936143039595,0.471618322458931,0.6787355666804176,0.20711724422148658,0.004150702426564496
qwen2.5-coder:7b,gold_new_line_count,q3_8_to_11,3221,9,11,0.02732070785470351,0.013039428748835765,-0.014281279105867744,0.49677692979149723,0.6807994432673309,0.18402251347583365,0.02173238124805961
qwen2.5-coder:7b,gold_new_line_count,q1_le_8,8502,2,8,0.14502470007057164,0.10773935544577747,-0.03728534462479417,0.566693179424337,0.710715909947482,0.14402273052314507,0.09997647612326512
qwen2.5-coder:7b,number_changed_spans,q4_gt_1,3613,2.0,10.0,0.013285358427899253,0.01799058953778024,0.004705231109880985,0.4881874687627544,0.696229740846646,0.20804227208389164,0.005535566011624689
qwen2.5-coder:7b,number_changed_spans,q1_le_1,11242,1.0,1.0,0.11545988258317025,0.08228073296566447,-0.033179149617505774,0.5454039462396074,0.6978903588597848,0.15248641262017737,0.0812133072407045
qwen2.5-coder:7b,number_changed_lines,q4_gt_3,2831,4.0,20.0,0.0307311903920876,0.056870363829035674,0.026139173436948073,0.5602147665888763,0.7176965706609104,0.15748180407203416,0.008830801836806783
qwen2.5-coder:7b,number_changed_lines,q3_1_to_3,3947,2.0,3.0,0.04079047377755257,0.05269825183683811,0.011907778059285536,0.5057494842186773,0.6972297063700963,0.19148022215141902,0.024322270078540664
qwen2.5-coder:7b,number_changed_lines,q1_le_1,8077,1.0,1.0,0.1359415624613099,0.07688498204779003,-0.05905658041351987,0.5339966905832945,0.6905282685894298,0.15653157800613537,0.10053237588213446
qwen2.5-coder:7b,direct_output_line_count,q4_gt_11,3345,12,47,0.0068759342301943195,0.023318385650224215,0.016442451420029897,0.48251755466542956,0.6870331181809431,0.2045155635155136,0.003288490284005979
qwen2.5-coder:7b,direct_output_line_count,q2_8_to_9,2479,9,9,0.020572811617587738,0.03953206938281565,0.018959257765227912,0.6249553102482575,0.7204079764267332,0.0954526661784757,0.01734570391286809
qwen2.5-coder:7b,direct_output_line_count,q3_9_to_11,1977,10,11,0.015174506828528073,0.03186646433990895,0.01669195751138088,0.45330202341071163,0.6793601756225294,0.22605815221181774,0.012645422357106728
qwen2.5-coder:7b,direct_output_line_count,q1_le_8,7054,1,8,0.1760703147150553,0.1064644173518571,-0.0696058973631982,0.5437750146755357,0.6994682799684954,0.15569326529295968,0.12106606180890275
qwen2.5-coder:7b,direct_output_word_count,q4_gt_49,3555,50,229,0.043319268635724335,0.030942334739803096,-0.01237693389592124,0.5068946230293478,0.7063959416977135,0.19950131866836562,0.034036568213783404
qwen2.5-coder:7b,direct_output_word_count,q1_le_24,3799,1,24,0.14214266912345355,0.12845485654119504,-0.013687812582258513,0.5310758521711335,0.68692839727861,0.15585254510747648,0.08002105817320347
qwen2.5-coder:7b,direct_output_word_count,q3_35_to_49,3538,36,49,0.07037874505370266,0.0423968343697004,-0.027981910684002263,0.5454050647839578,0.6970724319138911,0.15166736712993334,0.059072922555115884
qwen2.5-coder:7b,direct_output_word_count,q2_24_to_35,3963,25,35,0.10169063840524854,0.06106484986121625,-0.040625788544032294,0.5415195109241451,0.6999850239395597,0.15846551301541467,0.0754478930103457
qwen2.5-coder:7b,direct_output_char_count,q4_gt_492,3695,493,1824,0.03382949932341001,0.031935047361299054,-0.0018944519621109587,0.5040346744778451,0.6945436830592029,0.19050900858135777,0.02354533152909337
qwen2.5-coder:7b,direct_output_char_count,q1_le_273,3721,12,273,0.14727223864552538,0.11045417898414404,-0.03681805966138134,0.5090840791321481,0.6742686889831779,0.16518460985102978,0.09486697124428917
qwen2.5-coder:7b,direct_output_char_count,q3_367_to_492,3714,368,492,0.06650511577813678,0.05277329025309639,-0.01373182552504039,0.5498168911930723,0.709903785608824,0.16008689441575163,0.050080775444264945
qwen2.5-coder:7b,direct_output_char_count,q2_273_to_367,3725,274,367,0.11436241610738256,0.07114093959731543,-0.04322147651006712,0.5628248520075344,0.711217747011893,0.1483928950043586,0.08241610738255034
qwen2.5-coder:7b,gold_location_output_line_count,q4_gt_11,3556,12,44,0.010686164229471317,0.008998875140607425,-0.0016872890888638917,0.4906003919063143,0.6796119945426466,0.18901160263633232,0.007311586051743532
qwen2.5-coder:7b,gold_location_output_line_count,q1_le_8,5723,1,8,0.14555303162676916,0.16092958238686003,0.015376550760090868,0.539905563294223,0.6731858542480305,0.13328029095380745,0.07775642145727765
qwen2.5-coder:7b,gold_location_output_line_count,q2_8_to_10,4356,9,10,0.10215794306703398,0.007575757575757576,-0.0945821854912764,0.5608478870705106,0.7560900883513888,0.1952422012808782,0.09917355371900827
qwen2.5-coder:7b,gold_location_output_line_count,q3_10_to_11,1220,11,11,0.02459016393442623,0.003278688524590164,-0.021311475409836064,0.5063479998644769,0.6543361857925026,0.14798818592802576,0.02459016393442623
qwen2.5-coder:7b,gold_location_output_word_count,q4_gt_46,3620,47,252,0.05441988950276243,0.020718232044198894,-0.03370165745856353,0.5184570576353029,0.7015150651910075,0.18305800755570456,0.044475138121546964
qwen2.5-coder:7b,gold_location_output_word_count,q1_le_23,4018,1,23,0.12991538078646092,0.13489298158287705,0.004977600796416126,0.5336541428943116,0.6801861589404028,0.14653201604609123,0.07541065206570433
qwen2.5-coder:7b,gold_location_output_word_count,q2_23_to_33,3740,24,33,0.0962566844919786,0.06524064171122995,-0.031016042780748654,0.5397200087342489,0.7088013803877965,0.16908137165354764,0.06818181818181818
qwen2.5-coder:7b,gold_location_output_word_count,q3_33_to_46,3477,34,46,0.07679033649698015,0.03710094909404659,-0.03968938740293356,0.5336965087173616,0.7011135411896141,0.16741703247225248,0.061547310900201324
qwen2.5-coder:7b,gold_location_output_char_count,q4_gt_474,3706,475,2172,0.042093901780895844,0.021046950890447922,-0.021046950890447922,0.504318679662228,0.694680022610395,0.19036134294816698,0.03049109552077712
qwen2.5-coder:7b,gold_location_output_char_count,q1_le_262,3719,17,262,0.13229362731917182,0.11831137402527561,-0.013982253293896213,0.5225034097394939,0.6531298237325306,0.13062641399303665,0.08523796719548266
qwen2.5-coder:7b,gold_location_output_char_count,q3_351_to_474,3716,352,474,0.07534983853606028,0.0492465016146394,-0.026103336921420882,0.5402082752495316,0.7219818859127679,0.18177361066323627,0.05597416576964478
qwen2.5-coder:7b,gold_location_output_char_count,q2_262_to_351,3714,263,351,0.11254711900915455,0.07781367797522887,-0.034733441033925685,0.5588700403308676,0.7201946154209432,0.16132457509007558,0.07942918686052773
deepseek-coder:6.7b,old_snippet_line_count,q4_gt_11,3383,12,44,0.0014779781259237363,0.004433934377771209,0.0029559562518474726,0.5465125029533798,0.5969955789582408,0.050483076004861016,0.0008867868755542418
deepseek-coder:6.7b,old_snippet_line_count,q3_8_to_11,3176,9,11,0.004722921914357683,0.007241813602015114,0.0025188916876574307,0.4761904367693188,0.5271557211659449,0.050965284396626065,0.0025188916876574307
deepseek-coder:6.7b,old_snippet_line_count,q1_le_8,8296,3,8,0.010366441658630666,0.006509161041465767,-0.0038572806171648993,0.3238903621557913,0.36383808988076105,0.03994772772496974,0.009161041465766635
deepseek-coder:6.7b,review_word_count,q4_gt_24,3611,25,422,0.003600110772639158,0.0030462475768485184,-0.0005538631957906397,0.4227398511460265,0.4603207304830424,0.03758087933701587,0.0024923843810578787
deepseek-coder:6.7b,review_word_count,q3_14_to_24,3388,15,24,0.004427390791027155,0.0038370720188902006,-0.0005903187721369545,0.4032172413758941,0.4485183199453668,0.045301078569472686,0.0038370720188902006
deepseek-coder:6.7b,review_word_count,q1_le_8,4384,1,8,0.011177007299270073,0.011405109489051095,0.00022810218978102162,0.4026031132580055,0.45133561636156533,0.04873250310355981,0.009352189781021899
deepseek-coder:6.7b,review_word_count,q2_8_to_14,3472,9,14,0.008352534562211982,0.005184331797235023,-0.0031682027649769587,0.400518837650391,0.44695559902398974,0.046436761373598756,0.0069124423963133645
