scenario,model,paired_n,removed_pair_count,direct_exact,gold_location_exact,gold_minus_direct_exact,direct_location_f1,gold_location_f1,gold_minus_direct_location_f1
all_cases,qwen2.5-coder:7b,14855,0,0.09060922248401211,0.06664422753281724,-0.023964994951194876,0.5314878820777851,0.6974864670468282,0.16599858496904307
all_cases,deepseek-coder:6.7b,14855,0,0.007135644564119825,0.006193200942443622,-0.000942443621676203,0.4071509302669192,0.4518534774614314,0.04470254719451222
all_cases,qwen2.5-coder:32b,14855,0,0.12083473577919893,0.041804106361494446,-0.07903062941770447,0.6530348599133433,0.7007105808442183,0.04767572093087502
all_cases,macro_average,14855,0,0.07285986760911028,0.0382138449455851,-0.034646022663525185,0.5305578907526826,0.616683508450826,0.08612561769814343
without_unclosed_code_fence,qwen2.5-coder:7b,14813,42,0.09086613110105989,0.06663066225612638,-0.024235468844933508,0.5315646493151938,0.6978194794298873,0.16625483011469355
without_unclosed_code_fence,deepseek-coder:6.7b,14578,277,0.0072026341061874055,0.006173686376732062,-0.001028947729455344,0.40715055035937825,0.452160920431464,0.04501037007208575
without_unclosed_code_fence,qwen2.5-coder:32b,13956,899,0.1261822871883061,0.04335053023789051,-0.08283175695041559,0.6627062916726116,0.7019632721372545,0.03925698046464288
without_unclosed_code_fence,macro_average,13956,1218,0.07475035079851779,0.03871829295691632,-0.03603205784160148,0.5338071637823946,0.6173145573328686,0.08350739355047405
without_near_generation_cap,qwen2.5-coder:7b,14851,4,0.09063362736516059,0.06666217763113595,-0.02397144973402464,0.5315276260170886,0.6974691164859614,0.16594149046887285
without_near_generation_cap,deepseek-coder:6.7b,14841,14,0.007142375850683916,0.006199043191159625,-0.0009433326595242909,0.4070924063249543,0.45179420978078016,0.04470180345582586
without_near_generation_cap,qwen2.5-coder:32b,14009,846,0.12606181740309802,0.043186522949532444,-0.08287529445356558,0.6626794749937637,0.7014920280208853,0.03881255302712161
without_near_generation_cap,macro_average,14009,864,0.07461260687298084,0.03868258125727601,-0.03593002561570483,0.5337665024452688,0.616918451429209,0.08315194898394011
without_marker_echo,qwen2.5-coder:7b,10044,4811,0.09567901234567901,0.0985663082437276,0.002887295898048592,0.5338280480683928,0.6826798225314372,0.14885177446304443
without_marker_echo,deepseek-coder:6.7b,12803,2052,0.006873389049441537,0.0071858158244161524,0.00031242677497461506,0.40826833294682885,0.4520548028062219,0.04378646985939305
without_marker_echo,qwen2.5-coder:32b,14811,44,0.12119370737965025,0.041928296536358114,-0.07926541084329214,0.6534334036888093,0.7009311471312488,0.04749774344243951
without_marker_echo,macro_average,10044,6907,0.07458203625825693,0.04922680686816729,-0.025355229390089645,0.5318432615680103,0.6118885908229693,0.080045329254959
without_any_suspicious_output_flag,qwen2.5-coder:7b,9981,4874,0.09618274721971747,0.09878769662358482,0.0026049494038673515,0.5338383070715895,0.6831360522117362,0.1492977451401467
without_any_suspicious_output_flag,deepseek-coder:6.7b,11093,3762,0.007392049039935094,0.0067610204633552695,-0.0006310285765798243,0.41000594445071337,0.45407406545033097,0.0440681209996176
without_any_suspicious_output_flag,qwen2.5-coder:32b,11918,2937,0.11486826648766571,0.04489008222856184,-0.06997818425910388,0.6635504857796771,0.7009219958567403,0.037371510077063186
without_any_suspicious_output_flag,macro_average,9981,11573,0.07281435424910608,0.05014626643850064,-0.022668087810605447,0.5357982457673267,0.6127107045062692,0.0769124587389425
